id;categoria;nome_exibicao;nome_produto;pasta_referencia;medidas_texto_atual;altura_cm;largura_cm;profundidade_cm
2;armarios;BUFFETS;primus/buffet/gold;primus/buffet/gold/BUFFET GOLD 3 PORTAS PRIMUS.png;3 portas;;;
3;armarios;BUFFETS;primus/buffet/real;primus/buffet/real/real 4 portas perola-mel.png;"4 portas; imagem de medidas presente";;;
4;armarios;BUFFETS;Viero/buffet;Viero/buffet/imbuia-off.png;imagem de medidas presente;;;
5;armarios;BUFFETS;Lukaliam/CantinhoDoCafé;Lukaliam/CantinhoDoCafé/Lukaliam-Cantinho-do-Cafe-Menta-e-Tauri-Ripado-Ambiente-scaled.jpg;imagem de medidas presente;;;
6;armarios;BUFFETS;bechara/cristaleira/Elba;bechara/cristaleira/Elba/naturalle.png;imagem de medidas presente;;;
7;armarios;BUFFETS;bechara/cristaleira/madri;bechara/cristaleira/madri/NaturaleOff.png;imagem de medidas presente;;;
10;balcoes;BALCÕES;indekes/balcãoCooktop;indekes/balcãoCooktop/branco.png;imagem de medidas presente;;;
13;cadeiras;CADEIRAS;bechara/cadeira/cantiga;bechara/cadeira/cantiga/CANTIGA (2).png;imagem de medidas presente;;;
15;camas;CAMAS;songes/box/casal;songes/box/casal/baúCasal.png;solteiro, casal, queen;;;
16;camas;CAMAS;kamabel/Italia/beliche;kamabel/Italia/beliche/BelicheItalia.png;imagem de medida presente;;;
17;camas;CAMAS;kamabel/palmo;kamabel/palmo/BelichePalmo.png;imagem de medida presente;;;
18;camas;CAMAS;piner/beliche;piner/beliche/belichePeder (2).png;imagem de medidas presente;;;
20;camas;CAMAS;kamabel/Bicama;kamabel/Bicama/bicamaConfortCastanho.png;bicama;;;
22;camas;CAMAS;kamabel/Italia/camaCasal;kamabel/Italia/camaCasal/camaCasal.png;"casal; imagem de medida presente";;;
25;camas;CAMAS;Cambel/CamaSolteiro;Cambel/CamaSolteiro/SolteiroBranca.png;"solteiro; imagem de medidas presente";;;
26;camas;CAMAS;kamabel/Italia/camaSolteiro;kamabel/Italia/camaSolteiro/camaSolteiro.png;"solteiro; imagem de medida presente";;;
27;camas;CAMAS;lanza/cama/solteiro/Cama Solteiro Siena;lanza/cama/solteiro/Cama Solteiro Siena/Cama Solteiro Siena - Branco.jpg;solteiro;;;
28;camas;CAMAS;kamabel/Italia/triliche;kamabel/Italia/triliche/TrilicheItalia.png;imagem de medida presente;;;
29;colchoes;COLCHÕES;paropas/colchao/eco linho;paropas/colchao/eco linho/linho.png;;;;
30;colchoes;COLCHÕES;ecoflex/colchao/espuma/bege;ecoflex/colchao/espuma/bege/d33 aberto.png;"D33; imagem aberta";;;
32;colchoes;COLCHÕES;paropas/colchao/legacy;paropas/colchao/legacy/legacy.png;;;;
33;colchoes;COLCHÕES;hellen/colchão/mola-ensacada/lisboa/casal branco;hellen/colchão/mola-ensacada/lisboa/casal branco/mola-ens (2).png;solteiro, casal, queen;;;
34;colchoes;COLCHÕES;hellen/colchão/mola-ensacada/omega/casal preto e cinza;hellen/colchão/mola-ensacada/omega/casal preto e cinza/casal.png;solteiro, casal, queen;;;
35;colchoes;COLCHÕES;prorelax/colchao/espuma/turquesa/casal marrom;prorelax/colchao/espuma/turquesa/casal marrom/D33 (2).png;"casal; solteiro; D33";;;
38;comodas;CÔMODAS;lanza/comoda/Cômoda Ibiza;lanza/comoda/Cômoda Ibiza/Cômoda Ibiza - Branco.jpg;imagens frontais/internas;;;
41;comodas;CÔMODAS;lanza/comoda/Cômoda Messina;lanza/comoda/Cômoda Messina/Comoda Messina Branco.png;imagens frontais/internas;;;
43;comodas;CÔMODAS;lanza/comoda/Cômoda Paris;lanza/comoda/Cômoda Paris/Comoda Paris - Branco.jpg;imagens frontais/internas;;;
44;comodas;CÔMODAS;SantosAndira/Comodas/pinhais;SantosAndira/Comodas/pinhais/310443-Comoda_Pinhais24_JatobaAreia-scaled.jpg;imagem aberta e medidas;;;
46;cozinhas;COZINHAS;poliman/cozinha;poliman/cozinha/MALTA-FREIJORIPADO.jpg;imagem de medidas presente;;;
47;cozinhas;COZINHAS;kitsParana/cozinha/colors;kitsParana/cozinha/colors/cozinhaColors.png;imagem aberta e medidas;;;
48;cozinhas;COZINHAS;indekes/cozinha/firenze/5peças;indekes/cozinha/firenze/5peças/COZINHA-FIRENZE-5-PECAS-BRANCA-1X1-RGB.webp;"5 peças; aberta; medidas";;;
49;cozinhas;COZINHAS;indekes/cozinha/firenze/8peças;indekes/cozinha/firenze/8peças/COZINHA-FIRENZE-8-PECAS-BRANCA-1X1-RGB.webp;"8 peças; aberta; medidas";;;
